COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.08897118]],[[ True]],[[0.9424141]],0,0,0,0.07644886623737297,0,0,246.57656011875906,0,1,[[ True]],78.33463541666667,5,18:48,Programm
2,[[ True]],[[0.0887434]],[[ True]],[[0.9425594]],0.06877614040573818,18.59193,24.655712,0.037781914731284526,-22.332579018768687,50,183.45133942220406,0.003743592231845478,0.031746031746031744,[[ True]],78.29557291666667,5,18:48,Programm
3,[[ True]],[[0.0877056]],[[ True]],[[0.9427782]],0.20360322891657373,-32.389145,310.67615,0.009033478804895169,-28.454320729151995,11,144.84421877401965,0.021019378144244757,0.031007751937984496,[[ True]],78.90538194444444,5,18:48,Programm
4,[[ True]],[[0.08777221]],[[ True]],[[0.94450915]],0.12961021455049238,-30.04974,70.29584,0.0696127201147496,-40.88289940165521,29,128.65225438749587,0.013928625015988893,0.033145508783559825,[[ True]],78.84288194444444,5,18:48,Programm
5,[[ True]],[[0.08656286]],[[ True]],[[0.943663]],0.18815291871045045,-253.99802,1048.3862,0.026459547715689567,-23.146227917301005,14,171.4511443810501,0.01672713013096336,0.032981530343007916,[[ True]],78.98958333333333,5,18:48,Programm
6,[[ True]],[[0.08755525]],[[ True]],[[0.9433631]],0.14664616567364983,-25.124716,38.471596,0.010681478316599017,-31.548351673309774,52,155.2577724545116,0.013019745877424174,0.035285815102328866,[[ True]],79.00911458333333,5,18:49,Programm
7,[[ True]],[[0.08684138]],[[ True]],[[0.9434745]],0.13333464149758645,10.891729,37.767937,0.07116916409802546,-38.44301228242483,8,125.18870107535724,0.012162450756775337,0.036523009495982466,[[ True]],78.90277777777777,5,18:49,Programm
8,[[ True]],[[0.1073294]],[[ True]],[[0.9730388]],0.8482624176960872,977.6967,6100.9155,0.006164738914151433,-22.123600582055786,21,171.99797803755737,0.06204959920115828,0.035868005738880916,[[ True]],130.21440972222223,5,18:49,Programm
9,[[ True]],[[0.14166395]],[[ True]],[[0.96695364]],0.6901936586292007,-763.1794,1593.8529,0.013672292245246742,-44.201706233901504,54,124.6844024592366,0.043150088170919206,0.129366106080207,[[ True]],144.97135416666666,5,18:49,Programm
10,[[ True]],[[0.1403968]],[[ True]],[[0.76158196]],0.6402126447693184,-348.7099,1199.9385,0.015778069399090548,-37.2831733428711,91,152.02899203794897,0.042325209180989115,0.11261261261261261,[[ True]],132.54861111111111,5,18:49,Programm
12,[[ True]],[[0.6597658]],[[ True]],[[0.9569212]],0.7280534351145038,870.4289,1040.3297,0.30918301950132754,-29.465101732518654,45,152.57828609209608,0.04185444076338307,0.08576329331046312,[[ True]],208.75477430555554,5,18:49,Programm
13,[[ True]],[[0.5358428]],[[ True]],[[0.5952463]],0.6908310268966007,577.9361,2790.4277,0.00784325693533128,-11.322885594593465,8,203.9111481116755,0.03777220139921889,0.07855459544383346,[[ True]],195.34114583333334,5,18:49,Programm
14,[[ True]],[[0.67521864]],[[ True]],[[0.9613336]],0.6837868346007605,-227.94696,1231.1105,0.0315256202887051,-42.110071156208086,61,137.28641793045287,0.03426529996054458,0.061957868649318466,[[ True]],210.67274305555554,5,18:49,Programm
15,[[ True]],[[0.66602683]],[[ True]],[[0.94400775]],0.6552328880177438,-162.75067,1256.968,0.015930661946470536,-32.13903324526098,27,149.36714920252902,0.03587555385386571,0.053304904051172705,[[ True]],209.44835069444446,5,18:49,Programm
16,[[ True]],[[0.6656249]],[[ True]],[[0.97001964]],0.5980296074689224,40.2754,1676.0347,0.03204443494979705,-35.955323562788735,30,136.14380951732454,0.031098712589346756,0.04679457182966776,[[ True]],209.54383680555554,5,18:49,Programm
21,[[ True]],[[0.56122375]],[[ True]],[[0.539725]],0.5509974136385752,677.39453,1130.593,0.028015991698965424,-36.540337182779766,16,132.9313432549836,0.03071220984509939,0.045641259698767686,[[ True]],195.17317708333334,5,18:49,Programm
22,[[ True]],[[0.5612624]],[[ True]],[[0.5002629]],0.3891341256366723,-85.47873,415.67438,0.010040589617603077,-31.05187999880913,46,145.7314227015341,0.02289580498749358,0.049236829148202856,[[ True]],194.51128472222223,5,18:49,Programm
25,[[ True]],[[0.5226777]],[[ True]],[[0.6047888]],0.49601174320057606,15.278038,1542.8737,0.009704886013367107,-38.420882615325446,17,129.3603938576753,0.028523818535122498,0.04856726566294318,[[ True]],194.99088541666666,5,18:49,Programm
26,[[ True]],[[0.53624684]],[[ True]],[[0.53953636]],0.40818392519380875,27.4278,320.94965,0.011566515091402937,-40.26019122314533,38,136.1022379888902,0.024415213503024242,0.04952947003467063,[[ True]],195.52083333333334,5,18:49,Programm
31,[[ True]],[[0.5561767]],[[ True]],[[0.5353509]],0.5986410681836138,-210.28378,732.2274,0.022339548936429945,-33.44407806087379,45,149.5623989565818,0.03250709568885627,0.048828125,[[ True]],194.5,5,18:49,Programm
