COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.72027427]],[[ True]],[[0.97225726]],0,0,0,0.013245033112582781,0,0,246.57656011875906,0,1,[[ True]],217.85763888888889,5,22:04,Programm
2,[[ True]],[[0.7213656]],[[ True]],[[0.9665598]],0.34247758493049274,224.37694,305.16925,0.014618366039002656,-38.92125543053306,196,155.96624090418436,0.012788783898455164,0.10277492291880781,[[ True]],217.98003472222223,5,22:04,Programm
3,[[ True]],[[0.7062866]],[[ True]],[[0.9614256]],0.6610594719091881,380.13583,4148.2603,0.035248878444776754,-36.70202335454271,101,155.00371154076242,0.027757698504326325,0.11834319526627218,[[ True]],215.63194444444446,5,22:04,Programm
4,[[ True]],[[0.69584036]],[[ True]],[[0.9684465]],0.6054421768707483,162.39043,933.6272,0.023865474410229806,-25.766431971051475,113,173.33419358089392,0.025237714569305545,0.2012072434607646,[[ True]],214.88932291666666,5,22:04,Programm
5,[[ True]],[[0.7072422]],[[ True]],[[0.96135515]],0.5741282339707536,1427.0522,3175.5347,0.019928586687826166,-30.205123372758372,100,162.11275403196174,0.024636023251862402,0.16181229773462782,[[ True]],216.14973958333334,5,22:04,Programm
16,[[ True]],[[0.4673453]],[[ True]],[[0.69652575]],0.6671350888983931,488.24628,2676.4482,0.04330576494644001,-32.77283409881997,70,160.10282899574645,0.03893105048362275,0.06882312456985547,[[ True]],199.35633680555554,5,22:04,Programm
21,[[ True]],[[0.71334547]],[[ True]],[[0.96063995]],0.527468271465173,795.7457,1253.5764,0.009094515823847163,-42.07633950356937,71,137.9350913660382,0.02980024218910811,0.06527415143603134,[[ True]],221.39670138888889,5,22:04,Programm
22,[[ True]],[[0.71011883]],[[ True]],[[0.9701251]],0.6330770489121544,618.39185,1453.455,0.007354960783715323,-40.82440834130887,93,147.71928783028943,0.03276321572569752,0.07204610951008646,[[ True]],221.35243055555554,5,22:04,Programm
23,[[ True]],[[0.7026869]],[[ True]],[[0.96944225]],0.5218932330007089,185.01836,1012.88196,0.0771507919553209,-42.66839277133661,81,137.73904706379886,0.027849558061627686,0.06116207951070336,[[ True]],221.76128472222223,5,22:04,Programm
24,[[ True]],[[0.6765785]],[[ True]],[[0.97411126]],0.5234484134903213,117.58368,1104.0586,0.06320383312479018,-22.253192230627032,39,173.93724409482428,0.030042996472202918,0.06934812760055478,[[ True]],220.53038194444446,5,22:04,Programm
25,[[ True]],[[0.6230279]],[[ True]],[[0.97378904]],0.48935199703509424,821.7954,825.59375,0.007263405255287332,-23.985131644964927,42,173.69710673218242,0.032729861509568206,0.06480881399870382,[[ True]],215.87934027777777,5,22:04,Programm
26,[[ True]],[[0.622392]],[[ True]],[[0.9764955]],0.5177032624799686,427.05426,879.0804,0.007995849482711264,-42.77719448170374,62,134.20579907153586,0.026833550718788846,0.06807351940095303,[[ True]],215.90581597222223,5,22:04,Programm
27,[[ True]],[[0.6217424]],[[ True]],[[0.97558045]],0.4043338077671595,313.47925,781.49426,0.014770958586382641,-44.552699024229454,59,131.28994127583545,0.021137065801590794,0.06548788474132286,[[ True]],215.99175347222223,5,22:04,Programm
28,[[ True]],[[0.61882764]],[[ True]],[[0.971893]],0.4307665495105586,35.012997,678.39026,0.12625507370220038,-36.61182638994573,44,142.2627941350845,0.021997343412057436,0.06743088334457181,[[ True]],215.90625,5,22:04,Programm
29,[[ True]],[[0.6172351]],[[ True]],[[0.97142327]],0.381052291801162,101.16905,606.85974,0.00967436750389111,-23.02897702786415,58,182.07926000150047,0.0206944492459031,0.06493506493506493,[[ True]],215.74392361111111,5,22:04,Programm
30,[[ True]],[[0.6212787]],[[ True]],[[0.95067877]],0.3826393372068001,342.1854,583.5496,0.00717184972685934,-40.50956403433729,181,147.02202024074248,0.022000833642294347,0.06341154090044387,[[ True]],216.06640625,5,22:04,Programm
31,[[ True]],[[0.51092595]],[[ True]],[[0.60529727]],0.43913294797687863,-35.95587,698.3112,0.1141392254402295,-42.88737637739925,73,140.31303885146903,0.023245396046787783,0.06385696040868455,[[ True]],200.33116319444446,5,22:04,Programm
32,[[ True]],[[0.6182161]],[[ True]],[[0.9699838]],0.3567193059109918,-109.19535,702.9785,0.06131168553727836,-18.851301578824376,60,188.45328853156275,0.022364747781761975,0.06954102920723226,[[ True]],215.85894097222223,5,22:04,Programm
33,[[ True]],[[0.61851317]],[[ True]],[[0.9711115]],0.5059910134797804,18.086758,1335.0317,0.017151402325510424,-24.249134887868994,57,176.04428609699377,0.02700747763740538,0.06863417982155114,[[ True]],215.96484375,5,22:04,Programm
40,[[ True]],[[0.49032933]],[[ True]],[[0.61090887]],0.34957678355501814,331.40976,639.78955,0.065157017731254,-41.21183642266377,171,145.54750492111913,0.018936120683052907,0.10111223458038422,[[ True]],185.50347222222223,5,22:04,Programm
41,[[ True]],[[0.3128526]],[[ True]],[[0.6847386]],0.29245283018867924,155.8616,337.0254,0.02816858424634541,-23.720776035613124,29,169.3666838904352,0.017423659903016277,0.1358695652173913,[[ True]],154.63628472222223,5,22:04,Programm
42,[[ True]],[[0.3146596]],[[ True]],[[0.6835961]],0.18739795161050912,-219.34229,227.84845,0.06375316629535814,-31.00469960231574,78,159.2927969145243,0.012240982813853546,0.1059322033898305,[[ True]],154.60373263888889,5,22:04,Programm
