COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
411,[[ True]],[[0.19142863]],[[ True]],[[0.79280406]],0.35143048647123154,-92.31235,871.80554,0.036225470748008665,-37.36107422054158,62,154.9088800316687,0.03895484733249699,0.03136762860727729,[[ True]],90.0859375,6,14:32,Programm Grenze
412,[[ True]],[[0.19160369]],[[ True]],[[0.7924758]],0.0005576467307960407,0.0900383,0.26385117,0.04724265266884366,-23.440561746756835,55,166.33470729317165,0.004808568782068788,0.03518648838845883,[[ True]],90.09809027777777,6,14:32,Programm
413,[[ True]],[[0.19171649]],[[ True]],[[0.79221]],0.0019052929968864725,-0.05996704,0.45613098,0.06857509079256568,-26.335591883745522,213,174.43173623004765,0.00642725135333278,0.03518648838845883,[[ True]],90.01519097222223,6,14:32,Programm
414,[[ True]],[[0.19154617]],[[ True]],[[0.7926629]],0.0019053815410354123,0.056293488,0.46383286,0.03384502700888089,-23.44450181923903,54,168.53487351556984,0.005587229332080655,0.03529827038475115,[[ True]],90.03211805555556,6,14:32,Programm
415,[[ True]],[[0.19171649]],[[ True]],[[0.79221]],0.0019053815410354123,-0.03875351,0.46443558,0.07061983092745751,-29.41010269985078,226,174.31477129531046,0.006342593162651398,0.035211267605633804,[[ True]],90.01519097222223,6,14:32,Programm
416,[[ True]],[[0.21656995]],[[ True]],[[0.79061586]],0.0575116340328387,1.6436996,4.783455,0.08371227149266029,-23.021466530519366,51,179.5273566419054,0.05502749909429001,0.03527336860670194,[[ True]],204.52734375,6,14:32,Programm
417,[[ True]],[[0.21563442]],[[ True]],[[0.7907493]],0.29481380506846766,0.020095825,1.3973236,0.03271584215826899,-21.54421747074339,82,180.450099601353,0.03394527854486446,0.034722222222222224,[[ True]],204.16796875,6,14:32,Programm
418,[[ True]],[[0.38120764]],[[ True]],[[0.792754]],0.2187146309381787,-70.831375,74.29646,0.05536057618945891,-29.704837915698956,66,168.32875418147944,0.03860599242290544,0.030599755201958383,[[ True]],165.61024305555554,6,14:32,Programm
419,[[ True]],[[0.38097188]],[[ True]],[[0.79461646]],0.23176869952007492,-60.74894,63.73751,0.07571642200994903,-25.13598796835245,67,171.16656796782445,0.02552660288111813,0.028669724770642203,[[ True]],165.56944444444446,6,14:32,Programm
420,[[ True]],[[0.3818397]],[[ True]],[[0.79723763]],0.2664754769987124,-105.574905,134.94872,0.018555253761406293,-20.714348914042557,70,182.719379080739,0.026439721883746985,0.028910089621277824,[[ True]],165.82335069444446,6,14:32,Programm
