COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.12170999]],[[ True]],[[0.90816724]],0,0,0,0.14090395825067903,-12.238252333408735,0,246.57656011875906,0,1,[[ True]],138.07899305555554,0,15:14,Programm
2,[[ True]],[[0.11734474]],[[ True]],[[0.91067773]],0.11944190898422219,4.1056175,4.5412483,0.043427838984344005,-20.774998763921086,0,164.82522918018552,0.00703013762015196,0.46511627906976744,[[ True]],137.44053819444446,0,15:14,Programm
3,[[ True]],[[0.07334439]],[[ True]],[[0.95075107]],0.25582334724653294,152.43443,156.05818,0.01748710592974639,-30.846176550840006,2,141.06925251068077,0.028488814501675116,0.423728813559322,[[ True]],131.16796875,0,15:14,Programm
4,[[ True]],[[0.10133031]],[[ True]],[[0.9678074]],0.44324761007136126,-141.35123,177.28467,0.0740073854792932,-35.14564118348618,1,131.98306405960813,0.050727376786536826,0.45045045045045046,[[ True]],137.36328125,0,15:14,Programm
5,[[ True]],[[0.34397137]],[[ True]],[[0.8798293]],0.823089416994358,-83.94005,1007.2614,0.05685598315378277,-23.26122372282358,71,178.40907501016676,0.05636870896528405,0.4424778761061947,[[ True]],198.04166666666666,0,15:14,Programm
6,[[ True]],[[0.39845774]],[[ True]],[[0.9521634]],0.7887673106513934,-594.9922,1404.5857,0.06167790765099033,-24.904476524909125,88,179.4288962410028,0.045902722189375585,0.054945054945054944,[[ True]],203.14019097222223,0,15:14,Programm
7,[[ True]],[[0.0096442]],[[ True]],[[0.97971296]],0.42983178449594167,109.66731,3998.0552,0.0740073854792932,-24.197407352527897,68,179.98798150264201,0.047623962257892595,0.1996007984031936,[[ True]],93.99305555555556,0,15:14,Programm
8,[[ True]],[[0.01407929]],[[ True]],[[0.9779465]],0.39038999068281643,0.12409592,2.0601616,0.06128116702780236,-22.614498764068326,68,182.98537457853317,0.047107853337582495,0.45454545454545453,[[ True]],88.03168402777777,0,15:14,Programm
9,[[ True]],[[0.14676027]],[[ True]],[[0.92988735]],0.7064494680851063,-87.40556,169.3429,0.04431287575914793,-24.253459453374347,73,176.5172051905592,0.048344841050556066,0.228310502283105,[[ True]],159.19965277777777,0,15:14,Programm
10,[[ True]],[[0.4076029]],[[ True]],[[0.8086914]],0.707676303109943,-217.89798,2781.787,0.05047761467329936,-27.06940129555248,116,180.05353209531685,0.050910726440057355,0.09009009009009009,[[ True]],204.6015625,0,15:14,Programm
11,[[ True]],[[0.01415088]],[[ True]],[[0.97736114]],0.679862023653088,518.58453,6132.5083,0.04434339426862392,-25.93802351850342,73,176.81088341323002,0.04707944978997709,0.054764512595837894,[[ True]],88.82638888888889,0,15:14,Programm
12,[[ True]],[[0.20609896]],[[ True]],[[0.969657]],0.6168109785982683,-24.727785,382.96844,0.0511490218817713,-27.063421336873546,68,172.23108602537516,0.050694899539774116,0.10183299389002037,[[ True]],167.98611111111111,0,15:14,Programm
13,[[ True]],[[0.3481636]],[[ True]],[[0.9612986]],0.7029080215651038,-228.6485,789.3009,0.048860133671071504,-25.823253336948824,66,176.93498705574234,0.05100166106214831,0.08143322475570032,[[ True]],190.80772569444446,0,15:14,Programm
14,[[ True]],[[0.08279093]],[[ True]],[[0.9693524]],0.43384326355340846,-257.83862,373.95038,0.17148350474562823,-28.574420343936332,72,174.53544265198417,0.05270648633457178,2.380952380952381,[[ True]],132.17925347222223,0,15:14,Programm
15,[[ True]],[[0.1364772]],[[ True]],[[0.97916126]],0.47195383789586687,-189.6018,220.18285,0.04477065340128788,-15.315552980935983,16,191.93002777364558,0.053512066109342483,2.2222222222222223,[[ True]],122.45833333333333,0,15:14,Programm
16,[[ True]],[[0.1343673]],[[ True]],[[0.979934]],0.4226633581472291,9.842463,10.735781,0.042542802209540084,-26.980131345968328,74,173.79858423977612,0.0269153964402377,0.9345794392523364,[[ True]],122.00043402777777,0,15:14,Programm
17,[[ True]],[[0.1700348]],[[ True]],[[0.9351648]],0.2428726581591094,169.73555,1348.8606,0.038392284920804466,-27.423478147594167,91,177.95072470530388,0.03281191075588328,0.5,[[ True]],128.953125,0,15:14,Programm
18,[[ True]],[[0.4852992]],[[ True]],[[0.5988305]],0.30446773303916164,88.12145,1057.7511,0.04724265266884366,-28.315120800648977,83,174.79862178925944,0.04154827942080538,0.30959752321981426,[[ True]],190.93142361111111,0,15:14,Programm
19,[[ True]],[[0.10896395]],[[ True]],[[0.97732925]],0.46435754189944134,-905.84924,2012.2798,0.04086428418836024,-26.513314495896502,78,174.99676106192268,0.04182405076282736,0.2336448598130841,[[ True]],116.28819444444444,0,15:14,Programm
20,[[ True]],[[0.10547449]],[[ True]],[[0.9804701]],0.5604070438799076,9.264923,40.563385,0.05917538987395855,-27.7731220825938,60,174.127372858153,0.027650671296185078,0.15060240963855423,[[ True]],115.76736111111111,0,15:14,Programm
21,[[ True]],[[0.10548238]],[[ True]],[[0.9799989]],0.34952653106964754,5.2827454,12.80191,0.03933835871456038,-24.55717744125987,27,169.9426222114681,0.0108152137693758,0.09970089730807577,[[ True]],115.88454861111111,0,15:14,Programm
24,[[ True]],[[0.13710351]],[[ True]],[[0.97855896]],0.5186850238831132,303.60156,961.2746,0.05496383556627094,-27.33051376064685,94,178.69303017475235,0.05358509752428378,0.2066115702479339,[[ True]],122.01085069444444,0,15:14,Programm
25,[[ True]],[[0.13698378]],[[ True]],[[0.98026145]],0.3786121847966133,336.83643,745.0168,0.05182042909024323,-25.19845936644331,56,173.4822562340775,0.01248127476302237,0.12836970474967907,[[ True]],122.02604166666667,0,15:14,Programm
