COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
161,[[ True]],[[0.29308668]],[[ True]],[[0.70104873]],0.8643411790319069,-154.5586,187.00696,0.05468916898098697,-29.59213711777742,84,170.51190166409373,0.05525410950961792,0.2375296912114014,[[ True]],144.17404513888889,3,12:42,Programm Grenze
162,[[ True]],[[0.52142197]],[[ True]],[[0.56793535]],0.8327245458283945,-374.0042,788.0787,0.0522171697134312,-25.38368737684754,91,181.5507391476793,0.05287512757835685,0.03713330857779428,[[ True]],181.60286458333334,3,12:42,Programm
163,[[ True]],[[0.5674155]],[[ True]],[[0.66913617]],0.695995379283789,549.0815,3228.5625,0.06292916653950621,-25.643733432011974,83,178.38522767418218,0.03662560017487389,0.14347202295552366,[[ True]],190.85807291666666,3,12:42,Programm
164,[[ True]],[[0.20127651]],[[ True]],[[0.78632784]],0.5722896048813155,536.68695,944.79065,0.035065767387920777,-24.02296040388402,86,182.75120315833806,0.062449330362656395,0.14641288433382138,[[ True]],140.03211805555554,3,12:42,Programm
165,[[ True]],[[0.21198623]],[[ True]],[[0.7664788]],0.5264754311465465,226.83841,520.1808,0.028107547227393413,-29.102333049068278,90,175.53908928336122,0.04807268771413966,0.37453183520599254,[[ True]],136.76605902777777,3,12:42,Programm
166,[[ True]],[[0.18581519]],[[ True]],[[0.7794014]],0.6889887902849136,321.22098,452.2547,0.039155247657704395,-31.023541018897003,77,168.5568663647658,0.04974206156636895,0.3448275862068966,[[ True]],113.39800347222223,3,12:42,Programm
167,[[ True]],[[0.17532991]],[[ True]],[[0.8094759]],0.7021835590845399,297.20444,2382.1562,0.037476729636524556,-28.14420049533541,109,176.85877460639807,0.05036439900190603,0.05230125523012552,[[ True]],109.68967013888889,3,12:42,Programm
168,[[ True]],[[0.25182357]],[[ True]],[[0.7917737]],0.8920695374408747,207.03923,617.9732,0.03512680440687277,-29.117465264808622,482,179.77058535513893,0.04737091361171212,0.12360939431396786,[[ True]],89.29123263888889,3,12:42,Programm
169,[[ True]],[[0.31221473]],[[ True]],[[0.77874744]],0.7702346427629845,-14.003529,168.86742,0.02639851069673757,-29.425781205259526,90,173.8078195392427,0.05313401613750245,0.37453183520599254,[[ True]],179.34765625,3,12:42,Programm
170,[[ True]],[[0.2259094]],[[ True]],[[0.7220125]],0.7122629186477872,1.7285233,6.189934,0.024231696523941772,-31.13745595839463,284,164.03361676335658,0.0543798762922819,0.2695417789757412,[[ True]],126.17361111111111,3,12:42,Programm
171,[[ True]],[[0.22727466]],[[ True]],[[0.7242922]],0.45582318825434975,-17.971844,19.318928,0.011932737205114903,-32.31232357429205,60,155.72557796841102,0.02445715706761404,0.10964912280701754,[[ True]],127.93489583333333,3,12:42,Programm
172,[[ True]],[[0.17916287]],[[ True]],[[0.7959098]],0.6953493473730393,108.73585,131.82605,0.01391644032105472,-37.74095502182775,73,147.71659646298434,0.04748618430962529,0.11655011655011654,[[ True]],116.52473958333333,3,12:42,Programm
173,[[ True]],[[0.18310735]],[[ True]],[[0.78709155]],0.3576249736342544,0.34863663,1.0840645,0.00946073793755913,-37.12943676954528,221,156.94772392626618,0.02864168226525283,0.26737967914438504,[[ True]],118.60720486111111,3,12:42,Programm
174,[[ True]],[[0.18697284]],[[ True]],[[0.7788699]],0.5254653689879997,-2.8019066,5.0449486,0.0059511093478194525,-40.48149974614852,47,135.9788895110469,0.046390873566399406,0.24509803921568626,[[ True]],102.07335069444444,3,12:42,Programm
175,[[ True]],[[0.43303376]],[[ True]],[[0.6766663]],0.8354918815663801,-44.29651,241.87215,0.05389568773461104,-42.246323199317615,60,127.35419097628859,0.04696122724800475,0.1579778830963665,[[ True]],176.33420138888889,3,12:42,Programm
176,[[ True]],[[0.27893218]],[[ True]],[[0.772624]],0.8158166189111747,341.11423,498.08795,0.04382457960753197,-25.959054738555857,97,182.91266678655685,0.04940481827181176,0.04382120946538125,[[ True]],162.27256944444446,3,12:42,Programm
177,[[ True]],[[0.22792278]],[[ True]],[[0.7840914]],0.7597526643876935,-120.21375,150.38904,0.03283791619617298,-28.398372776370962,86,180.20595010762656,0.051166536491837764,0.16286644951140064,[[ True]],92.42751736111111,3,12:42,Programm
178,[[ True]],[[0.21989025]],[[ True]],[[0.79145706]],0.6956062738789464,-136.01154,141.01184,0.0228278450880459,-30.708666191159054,76,169.68872477008122,0.05334528432541409,0.13986013986013987,[[ True]],90.55034722222223,3,12:42,Programm
179,[[ True]],[[0.24174683]],[[ True]],[[0.7920713]],0.6114043506078055,267.56033,300.15784,0.02542191839350566,-32.83070166554475,99,169.1112239292535,0.05016985592221551,0.20202020202020202,[[ True]],156.09852430555554,3,12:42,Programm
