COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.09423198]],[[ True]],[[0.9767217]],0,0,0,0.006073183385723441,0,0,246.57656011875906,0,1,False,126.63411458333333,5,02:33,Programm
2,[[ True]],[[0.09747276]],[[ True]],[[0.97704947]],0.0028586761336663294,-0.009967804,0.013118744,0.01098666341135899,-45.49774865718199,139,136.52657623222206,0.0019455632178409289,0.02422480620155039,False,126.53472222222223,5,02:33,Programm
3,[[ True]],[[0.08754072]],[[ True]],[[0.9975015]],0.015216570968169627,0.35977554,0.3683281,0.009186071352275156,-40.912293303270715,66,135.8480157479633,0.007881504172305346,0.02420135527589545,False,122.87239583333333,5,02:33,Programm
4,[[ True]],[[0.03759982]],[[ True]],[[0.96952635]],0.00901571631089943,-0.03295517,0.03559494,0.019837031159398177,-40.73740371095711,42,137.66014252559043,0.008407209974671455,0.024277737314882253,False,113.24348958333333,5,02:33,Programm
5,[[ True]],[[0.01734635]],[[ True]],[[0.99894685]],0.007588153481142109,-0.46546173,0.4976654,0.006988738670003357,-33.3696271224375,47,143.8029858417445,0.009689424033191266,0.02418379685610641,False,79.65755208333333,5,02:33,Programm
6,[[ True]],[[0.01536533]],[[ True]],[[0.99849606]],0.006872289945185306,0.010169983,0.28181458,0.0022583697012237922,-43.11202397603622,59,129.269511225764,0.008235170324854475,0.02425418384671356,False,81.53732638888889,5,02:33,Programm
7,[[ True]],[[0.01996924]],[[ True]],[[0.99936056]],0.010680798184264309,0.12992477,0.13093948,0.002197332682271798,-47.02167650714523,186,116.99639575144207,0.005685050222913786,0.024189646831156264,False,79.65798611111111,5,02:33,Programm
8,[[ True]],[[0.0029996]],[[ True]],[[0.99867976]],0.008987356073912016,-0.7283554,0.7561264,0.07522812585833308,-53.162083694208604,196,117.9333058241906,0.008523637269465693,0.02422480620155039,False,89.46744791666667,5,02:33,Programm
9,[[ True]],[[0.00044906]],[[ True]],[[0.99908286]],0.8336363356238252,1956.7048,6479.308,0.07165746024964141,-24.103366290185026,59,161.6950220227355,0.04450532125205959,0.024271844660194174,False,90.60069444444444,5,02:33,Programm
10,[[ True]],[[0.20185119]],[[ True]],[[0.99755156]],0.8921281795339552,4383.3315,9562.132,0.003784295175023652,-24.463612195704457,61,171.2446953759807,0.04269176959247352,0.09689922480620156,False,142.11979166666666,5,02:33,Programm
11,[[ True]],[[0.09364325]],[[ True]],[[0.9901785]],0.7852267879994312,766.4666,1820.2076,0.00836207159642323,-46.172216102196984,92,126.49118625504458,0.037681883081820494,0.5617977528089888,False,124.79774305555556,5,02:33,Programm
12,[[ True]],[[0.02861159]],[[ True]],[[0.9657724]],0.6772358879567753,-12.764618,1527.0763,0.015045625171666617,-41.553722366426214,65,138.48249033199227,0.03177764586109922,0.20040080160320642,False,104.28081597222223,5,02:33,Programm
13,[[ True]],[[0.02510064]],[[ True]],[[0.99952793]],0.7956312112565187,-594.922,2185.0266,0.014374217963194678,-36.451795237289375,43,145.31481979229756,0.034674988538764974,0.2336448598130841,False,78.46223958333333,5,02:33,Programm
14,[[ True]],[[0.00550346]],[[ True]],[[0.999273]],0.8567184643510055,79.136185,83.90062,0.004547257911923582,-38.78190661871812,56,136.4508231148539,0.03455579986182427,0.6578947368421053,False,97.41449652777777,5,02:33,Programm
15,[[ True]],[[0.00537379]],[[ True]],[[0.9993184]],0.25167580743449114,8.820297,63.062454,0.004089480269783624,-46.84500825458849,64,122.96799410949089,0.013761042080771143,0.2066115702479339,False,97.48958333333333,5,02:33,Programm
16,[[ True]],[[0.0244054]],[[ True]],[[0.9993684]],0.8688740694789082,-579.2524,1910.9824,0.015533921323282572,-47.76663765553782,97,124.5546326236525,0.03479960914536516,0.20618556701030927,False,78.23003472222223,5,02:33,Programm
17,[[ True]],[[0.02551785]],[[ True]],[[0.99946904]],0.5933509020879789,30.572418,30.749023,0.01663258766441847,-36.1743779760988,95,150.93093080339298,0.007893103475643702,0.6578947368421053,False,78.36284722222223,5,02:33,Programm
18,[[ True]],[[0.02601519]],[[ True]],[[0.99936366]],0.5514488981433281,261.29468,261.34692,0.004791405987731559,-35.92210788315945,34,146.07338174854544,0.011124848513215605,0.6451612903225806,False,78.02604166666667,5,02:33,Programm
19,[[ True]],[[0.02538368]],[[ True]],[[0.9995067]],0.5913586673607496,10.629158,131.41162,0.012878810998870815,-46.39074057464931,77,120.75430098877364,0.013519751604208707,0.5847953216374269,False,78.04123263888889,5,02:34,Programm
20,[[ True]],[[0.01500117]],[[ True]],[[0.97375154]],0.7945885777891942,67.93021,70.994415,0.003936887722403638,-37.802484603600504,0,120.13085325109475,0.034524413156684794,0.49261083743842365,False,97.09331597222223,5,02:34,Programm
21,[[ True]],[[0.01477867]],[[ True]],[[0.9736102]],0.5235044384407564,-21.837158,95.792145,0.007751701406903287,-47.32435136972639,133,126.7536841487414,0.013415683515101017,0.2518891687657431,False,96.68923611111111,5,02:34,Programm
22,[[ True]],[[0.00660662]],[[ True]],[[0.9866876]],0.726206098031648,47.319023,243.83905,0.00640888698995941,-42.212059290435214,41,128.58380473657635,0.018527083166247398,0.2770083102493075,False,93.28732638888889,5,02:34,Programm
23,[[ True]],[[0.08292468]],[[ True]],[[0.99878085]],0.7069564099267069,-339.3363,1241.4917,0.00881984923856319,-43.86434772815559,61,132.66709019605054,0.037061287513308006,0.3184713375796178,False,113.78645833333333,5,02:34,Programm
