COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.06483553]],[[ True]],[[0.931207]],0,0,0,0.003143406476027711,0,0,246.57656011875906,0,1,[[ True]],131.34548611111111,2,16:57,Programm
2,[[ True]],[[0.06491081]],[[ True]],[[0.9312058]],0.10690813494961297,0.044380188,0.06285095,0.0033875545518356883,-50.05198912873054,131,120.10497943441503,0.004000523460819947,0.36900369003690037,[[ True]],131.375,2,16:57,Programm
3,[[ True]],[[0.06452129]],[[ True]],[[0.93108577]],0.22024740509028864,-0.54447174,0.7508621,0.004333628345591601,-49.40227404710083,108,119.9763368462266,0.011014099970287013,0.37735849056603776,[[ True]],131.0,2,16:57,Programm
4,[[ True]],[[0.07900383]],[[ True]],[[0.89977574]],0.7998009384331011,-4.476475,129.37854,0.012451551866206854,-49.247164753165585,113,118.35911558072361,0.04828320356923372,0.3831417624521073,[[ True]],124.76128472222223,2,16:57,Programm
5,[[ True]],[[0.06430235]],[[ True]],[[0.9309092]],0.7788287661705383,1.94281,862.288,0.018402661214026308,-44.33167209463985,37,137.51814260773844,0.04798103260533066,0.2881844380403458,[[ True]],131.17274305555554,2,16:57,Programm
6,[[ True]],[[0.06389876]],[[ True]],[[0.9313166]],0.24704409514536096,0.27202225,0.45469284,0.006530961027863399,-41.97592347606836,136,156.81536397766496,0.0100970991041314,0.37037037037037035,[[ True]],130.86848958333334,2,16:57,Programm
7,[[ True]],[[0.0639353]],[[ True]],[[0.9311655]],0.21818181818181817,-0.0036010742,0.30271912,0.0073854792931913205,-43.11202397603622,41,122.38897837749177,0.009514917039260669,0.3401360544217687,[[ True]],131.22005208333334,2,16:57,Programm
8,[[ True]],[[0.07866807]],[[ True]],[[0.9021437]],0.7934659090909091,-11.169342,123.42846,0.01434369945371868,-42.63242630322536,43,126.42104814725506,0.04790698151290795,0.3546099290780142,[[ True]],124.94835069444444,2,16:57,Programm
9,[[ True]],[[0.07916172]],[[ True]],[[0.89966327]],0.3776269702276708,8.914957,11.153463,0.025482955412457656,-36.86677646411963,56,139.34902542751738,0.010148522359278106,0.2717391304347826,[[ True]],124.77430555555556,2,16:57,Programm
10,[[ True]],[[0.0792928]],[[ True]],[[0.8995308]],0.3635008517887564,32.118904,39.579834,0.0815149388103885,-31.875004113161935,304,159.1792379630687,0.01069646009175845,0.2724795640326976,[[ True]],124.91015625,2,16:57,Programm
11,[[ True]],[[0.07842689]],[[ True]],[[0.9005459]],0.3692504258943782,-15.767136,25.643955,0.023529770805993836,-21.77525586240652,8,170.61569922498518,0.009872649793771017,0.2808988764044944,[[ True]],124.6796875,2,16:58,Programm
12,[[ True]],[[0.07911279]],[[ True]],[[0.9010411]],0.42011834319526625,12.687059,12.802073,0.03360087893307291,-32.56764606181484,70,159.47468872369043,0.010267127014716788,0.2597402597402597,[[ True]],125.18402777777777,2,16:58,Programm
13,[[ True]],[[0.07900576]],[[ True]],[[0.9007028]],0.34541062801932365,-20.390377,20.957073,0.043214209418012024,-29.06461744643973,70,168.43020428142682,0.009596502333738148,0.29673590504451036,[[ True]],124.99739583333333,2,16:58,Programm
14,[[ True]],[[0.07835571]],[[ True]],[[0.9002676]],0.42713365539452497,1.4347582,16.221207,0.03271584215826899,-27.574322279705843,75,174.79316601120087,0.009191381085871083,0.2898550724637681,[[ True]],124.5546875,2,16:58,Programm
15,[[ True]],[[0.05927413]],[[ True]],[[0.92902595]],0.7818691588785047,165.12843,953.3769,0.038087099826044496,-29.704837915698956,96,169.43220703559876,0.04785140295713811,0.2801120448179272,[[ True]],129.73090277777777,2,16:58,Programm
16,[[ True]],[[0.05906414]],[[ True]],[[0.92947024]],0.2757009345794392,-0.3179474,0.460495,0.10715048677022614,-28.384441915905875,52,159.7416918671649,0.008622607998925565,0.3448275862068966,[[ True]],129.83810763888889,2,16:58,Programm
17,[[ True]],[[0.05924365]],[[ True]],[[0.92968917]],0.18424900772926675,-0.1651001,0.3338089,0.02041688283944212,-19.400117033526957,26,168.441059474237,0.008888259863656494,0.3412969283276451,[[ True]],129.77213541666666,2,16:58,Programm
18,[[ True]],[[0.05877905]],[[ True]],[[0.92893773]],0.20722790891999165,0.13214493,0.34475327,0.008606219672231208,-33.800211267477515,0,127.5887300972479,0.009635174139298772,0.34843205574912894,[[ True]],129.20963541666666,2,16:58,Programm
19,[[ True]],[[0.05881152]],[[ True]],[[0.92861867]],0.27978982923625445,0.028144836,0.23134613,0.005462813196203497,-41.30375145644676,2,121.59108124418408,0.00963240857575231,0.3367003367003367,[[ True]],129.12239583333334,2,16:58,Programm
20,[[ True]],[[0.05880628]],[[ True]],[[0.9290521]],0.22037871956717764,-0.029342651,0.14588165,0.01434369945371868,-45.25167300323612,33,122.10080412235239,0.008899092419034317,0.33783783783783783,[[ True]],129.53993055555554,2,16:58,Programm
21,[[ True]],[[0.0589551]],[[ True]],[[0.9292746]],0.2530854303574291,0.13179398,0.20326614,0.01705984679708243,-36.86677646411963,217,149.37554703983096,0.008732974990299945,0.36764705882352944,[[ True]],129.46527777777777,2,16:58,Programm
22,[[ True]],[[0.05914807]],[[ True]],[[0.92893]],0.16406005630278386,-0.2522354,0.30472565,0.01315347758415479,-36.36414676763963,278,153.7300748776989,0.008619725706693794,0.3546099290780142,[[ True]],129.68967013888889,2,16:58,Programm
23,[[ True]],[[0.05889582]],[[ True]],[[0.92872363]],0.22114482327181734,0.083236694,0.26152802,0.0037232581560716575,-37.619188219619346,67,144.7718065070948,0.007355904112302502,0.352112676056338,[[ True]],129.23177083333334,2,16:58,Programm
24,[[ True]],[[0.05890265]],[[ True]],[[0.92889005]],0.18587182355761547,0.016750336,0.18140793,0.013550218207342753,-49.17063659610453,102,125.10422378009686,0.00714488068433953,0.33444816053511706,[[ True]],129.46050347222223,2,16:58,Programm
25,[[ True]],[[0.05820712]],[[ True]],[[0.92959166]],0.1986575035959725,0.07928085,0.1858406,0.12094485305337688,-37.36107422054158,195,150.86182109614248,0.007902913342489468,0.3333333333333333,[[ True]],129.28993055555554,2,16:58,Programm
26,[[ True]],[[0.07534567]],[[ True]],[[0.90495086]],0.7858896709772467,-9.366894,15.519939,0.0026245918149357585,-18.348252176150186,67,181.73921822573416,0.04787917639776088,0.3367003367003367,[[ True]],124.34982638888889,2,16:58,Programm
27,[[ True]],[[0.07427932]],[[ True]],[[0.9057858]],0.25405139957439843,12.017992,13.406401,0.0031128879665517136,-51.618764597962624,159,120.89270813016144,0.008670797449231606,0.2857142857142857,[[ True]],124.03515625,2,16:58,Programm
28,[[ True]],[[0.07425512]],[[ True]],[[0.9073236]],0.23226627864678065,-4.7145324,6.726228,0.00891140476699118,-50.84617655084001,105,119.30520770190738,0.008867489980090657,0.28735632183908044,[[ True]],124.60460069444444,2,16:58,Programm
29,[[ True]],[[0.05894584]],[[ True]],[[0.92903304]],0.7798475867908552,-167.82123,425.92548,0.007782219916379284,-44.91847473847565,51,123.20059550312767,0.04787401179720332,0.2695417789757412,[[ True]],129.59071180555554,2,16:58,Programm
30,[[ True]],[[0.05884092]],[[ True]],[[0.92900187]],0.2562982379496141,-0.14278412,0.33278656,0.00933866389965514,-42.177930014154875,19,125.2819678263113,0.009550667148216221,0.36231884057971014,[[ True]],129.22005208333334,2,16:58,Programm
31,[[ True]],[[0.05867649]],[[ True]],[[0.92932415]],0.4011941167904471,0.09055328,0.27405548,0.014007995849482712,-40.59430509320238,80,141.73705877918863,0.00904618738015244,0.3597122302158273,[[ True]],129.29861111111111,2,16:58,Programm
32,[[ True]],[[0.05791206]],[[ True]],[[0.9297238]],0.17512147716229348,0.14126587,0.27407837,0.0027466658528397473,-37.07247991208875,93,146.80519850055464,0.00814664939040751,0.3508771929824561,[[ True]],129.05772569444446,2,16:58,Programm
33,[[ True]],[[0.05836038]],[[ True]],[[0.93006265]],0.15394736842105264,-0.19704056,0.40306473,0.026978362376781518,-51.22388343404748,142,122.91922630250575,0.009527793329609503,0.36231884057971014,[[ True]],129.5859375,2,16:58,Programm
34,[[ True]],[[0.05901373]],[[ True]],[[0.9285365]],0.1943609022556391,-0.07144928,0.39149475,0.021607104709006012,-31.37968832257252,227,167.5412519852559,0.00861328314397003,0.3546099290780142,[[ True]],129.55425347222223,2,16:58,Programm
35,[[ True]],[[0.05923835]],[[ True]],[[0.928537]],0.17283247960538797,-0.04534912,0.25909424,0.1152684102908414,-34.81839430826299,63,149.616382060289,0.008631608530319987,0.352112676056338,[[ True]],129.55512152777777,2,16:58,Programm
36,[[ True]],[[0.05868801]],[[ True]],[[0.93004566]],0.29092125062698543,-0.12227249,0.41841507,0.006134220404675436,-18.76579392628348,60,178.9659338425693,0.00813029090654056,0.373134328358209,[[ True]],129.60069444444446,2,16:58,Programm
37,[[ True]],[[0.05823492]],[[ True]],[[0.92994535]],0.3904029426517305,-0.15228271,0.32696533,0.008453627124851223,-46.84500825458849,73,133.0698091717304,0.007602996822545861,0.4032258064516129,[[ True]],129.34244791666666,2,16:58,Programm
38,[[ True]],[[0.05865993]],[[ True]],[[0.92977554]],0.23208325152169645,0.027645111,0.23410416,0.002075258644367809,-39.577564771403374,487,145.1723647976014,0.007107450533427834,0.35335689045936397,[[ True]],129.65451388888889,2,16:58,Programm
39,[[ True]],[[0.07340845]],[[ True]],[[0.9075961]],0.8168073826821127,8.050056,142.14142,0.009399700918607135,-53.65855536870925,171,117.96356780686574,0.04781364153232193,0.33783783783783783,[[ True]],123.96701388888889,2,16:58,Programm
40,[[ True]],[[0.07386495]],[[ True]],[[0.9060457]],0.4084621643612693,-31.091078,31.72162,0.010010071108127079,-40.53771929282509,74,142.31407599047125,0.010458269680256357,0.26525198938992045,[[ True]],124.09809027777777,2,16:58,Programm
41,[[ True]],[[0.07353739]],[[ True]],[[0.906941]],0.36907296303464293,11.121818,11.541757,0.09051789910580767,-39.7819480750371,44,141.0715935614048,0.0080254381536469,0.2770083102493075,[[ True]],124.08333333333333,2,16:58,Programm
42,[[ True]],[[0.07376215]],[[ True]],[[0.9056786]],0.4102961099283917,-3.1411357,37.85331,0.005401776177251503,-20.865310688986717,53,176.43489289932072,0.01023454144269102,0.2777777777777778,[[ True]],124.05902777777777,2,16:58,Programm
43,[[ True]],[[0.07277177]],[[ True]],[[0.9082787]],0.35619015047879615,3.7505026,5.4621286,0.005859553819391461,-45.34926829559785,60,123.6840880063025,0.007702761562716182,0.28169014084507044,[[ True]],124.265625,2,16:58,Programm
44,[[ True]],[[0.05901596]],[[ True]],[[0.928497]],0.7983926128590971,148.14035,836.17615,0.003997924741355632,-44.64270904876298,36,122.03295736092845,0.047594567754632174,0.2976190476190476,[[ True]],129.32682291666666,2,16:58,Programm
45,[[ True]],[[0.05887526]],[[ True]],[[0.929521]],0.16614938961307676,0.021080017,0.7253189,0.02685628833887753,-50.22230614718112,129,119.80753092983635,0.008997124957170508,0.3816793893129771,[[ True]],129.32118055555554,2,16:58,Programm
46,[[ True]],[[0.05862989]],[[ True]],[[0.9295818]],0.21897810218978103,-0.3968773,0.5664482,0.05151524399548326,-31.41908017983061,238,161.69893955989545,0.008366126891332037,0.352112676056338,[[ True]],129.42751736111111,2,16:58,Programm
47,[[ True]],[[0.05861307]],[[ True]],[[0.9303547]],0.23317112733171128,-0.08023834,0.23220825,0.004913480025635548,-30.57329893750908,232,165.14820183126497,0.008102785153395528,0.37593984962406013,[[ True]],129.41102430555554,2,16:58,Programm
48,[[ True]],[[0.05867917]],[[ True]],[[0.92883265]],0.19309068476249228,-0.17053604,0.61128616,0.006134220404675436,-46.172216102196984,177,129.21917332747284,0.007649814858080448,0.3401360544217687,[[ True]],129.22395833333334,2,16:58,Programm
49,[[ True]],[[0.07298953]],[[ True]],[[0.9071513]],0.804097605893186,-8.539852,14.889797,0.0036927396465956603,-46.39074057464931,571,119.55556633923845,0.04771174079169432,0.36101083032490977,[[ True]],123.81423611111111,2,16:58,Programm
