COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
50,[[ True]],[[0.01954955]],[[ True]],[[0.97797316]],0.0,0.0,0.0,0,0,426,16.742608223045274,0.0,0.025477707006369428,3,02:57,PROGRAMM
55,[[ True]],[[0.02659088]],[[ True]],[[0.9831006]],0.6826631542323177,63.26264,286.93726,0,0,369,16.90135242828155,0.039704867755384496,0.041911148365465216,3,02:59,PROGRAMM
126,[[ True]],[[0.03449478]],[[ True]],[[0.95348316]],0.7245880452342488,184.56967,1147.0272,0,0,369,16.90135242828155,0.045958766850809324,0.053850296176628974,3,03:01,PROGRAMM
25,[[ True]],[[0.0095615]],[[ True]],[[0.98666114]],0.6478679504814305,84.49382,327.84097,0,0,432,16.864397929249858,0.05867549758533211,0.2770083102493075,3,03:03,PROGRAMM
25,[[ True]],[[0.01806727]],[[ True]],[[0.9748541]],0.6478366445916115,-122.34125,604.51917,0,0,403,16.54381532036455,0.04904448315529127,0.038955979742890535,3,03:04,PROGRAMM
29,[[ True]],[[0.02208295]],[[ True]],[[0.97595]],0.7186803013087573,-381.552,633.2587,0,0,369,16.90135242828155,0.040231713041742154,0.07418397626112759,3,03:06,PROGRAMM
67,[[False]],[[0.42180738]],[[False]],[[0.05759998]],0.4175022989009064,-158.13568,161.15897,0,0,432,16.864397929249858,0.01130845272266603,0.04118616144975288,3,03:06,PROGRAMM
148,[[ True]],[[0.30880877]],[[ True]],[[0.98279786]],0.9001074113856069,-28.102997,2548.7236,0,0,432,16.864397929249858,0.032991004659073016,0.27100271002710025,3,03:07,PROGRAMM
42,[[ True]],[[0.01241395]],[[ True]],[[0.9857149]],0.6721659588369814,-59.08944,66.0265,0,0,38,163.96182765462945,0.04741838888035009,0.18281535648994515,3,03:22,PROGRAMM
260,[[False]],[[0.92807126]],[[False]],[[0.02885822]],0.11606438073968542,-0.016313553,0.04194069,0,0,129,81.20665619187702,0.006920899228193004,0.019561815336463225,3,03:24,PROGRAMM
297,[[ True]],[[0.29000348]],[[ True]],[[0.73791313]],0.2378808864265928,-14.094143,59.894398,0,0,369,16.90135242828155,0.01668904487464597,0.035137034434293744,3,03:24,PROGRAMM
