COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
281,[[ True]],[[0.2872454]],[[ True]],[[0.74006164]],0.8588221867153618,10.818268,40.570084,0,0,172,76.55460925103061,0.05845339335836777,0.0796812749003984,3,04:42,PROGRAMM
298,[[False]],[[0.46639872]],[[False]],[[0.07921804]],0.18270552653285674,105.66371,127.87366,0,0,177,88.70334740810152,0.018354300387391987,0.06277463904582549,3,04:42,PROGRAMM
376,[[ True]],[[0.32734486]],[[ True]],[[0.6919924]],0.1841553504595066,4.875843,42.12312,0,0,134,80.06361869785975,0.01578187469687833,0.01579778830963665,3,04:42,PROGRAMM
414,[[False]],[[0.58608866]],[[False]],[[-0.03185018]],0.062487033733040126,0.051570892,0.20300293,0,0,432,16.864397929249858,0.007859221474243209,0.03920031360250882,3,04:43,PROGRAMM
423,[[ True]],[[0.2919982]],[[ True]],[[0.7458433]],0.15710654667857388,-0.0038852692,0.011606216,0,0,403,16.54381532036455,0.0035445588391099362,0.21505376344086022,3,04:43,PROGRAMM
465,[[False]],[[1.]],[[False]],[[0.00709003]],0.08623720867330839,1.2372301,2.2258055,0,0,432,16.864397929249858,0.009546485511140294,0.09285051067780872,3,04:44,PROGRAMM
478,[[ True]],[[0.3460791]],[[ True]],[[0.714726]],0.23671575225505756,-36.862625,39.67682,0,0,363,16.13012297874178,0.032221780185668805,0.0881057268722467,3,04:44,PROGRAMM
511,[[False]],[[0.6263862]],[[False]],[[0.09944955]],0.08907251824010612,9.555603,9.733704,0,0,403,16.54381532036455,0.018317282333080363,0.08865248226950355,3,04:44,PROGRAMM
524,[[ True]],[[0.31841913]],[[ True]],[[0.7133351]],0.07611468606023683,13.622019,17.985159,0,0,363,16.13012297874178,0.023021470485073563,0.03965107057890563,3,04:44,PROGRAMM
554,[[False]],[[1.]],[[False]],[[-0.2635477]],0.05866940298025853,1.8948345,2.8887234,0,0,363,16.13012297874178,0.013956655926091186,0.0243842965130456,3,04:44,PROGRAMM
2308,[[ True]],[[0.0204547]],[[ True]],[[0.9780094]],0.9641536971614857,549.6416,5904.9277,0,0,197,92.32097053495542,0.037330671186359334,0.06724949562878278,3,05:19,PROGRAMM
2331,[[False]],[[0.61587924]],[[False]],[[0.20959875]],0.6672164696539296,1887.822,12661.447,0,0,381,16.297229276198784,0.038869256737912035,0.03929273084479371,3,05:19,PROGRAMM
2336,[[ True]],[[0.05168265]],[[ True]],[[0.96911824]],0.140533242236429,4.125107,58.0266,0,0,351,16.5035288796762,0.029465577351238476,0.05350454788657036,3,05:19,PROGRAMM
2370,[[False]],[[1.]],[[False]],[[0.24071467]],0.46612016679302504,119.59305,1653.114,0,0,431,17.145584953929806,0.03514937700449924,0.09149130832570906,3,05:19,PROGRAMM
2385,[[ True]],[[0.0402528]],[[ True]],[[0.9854763]],0.7557710398726392,-38.18272,55.341503,0,0,406,16.62221320695392,0.04219994138125834,0.07739938080495357,3,05:20,PROGRAMM
2471,[[False]],[[1.]],[[False]],[[0.24006636]],0.2544352122164833,-44.57567,140.14433,0,0,431,17.145584953929806,0.016405326741596907,0.04995004995004995,3,05:20,PROGRAMM
63,[[ True]],[[0.35258436]],[[ True]],[[0.9925792]],0.0,0.0,0.0,0,110.57986111111111,369,16.90135242828155,0.0,0.061274509803921566,3,05:45,PROGRAMM
5,[[ True]],[[0.88542134]],[[ True]],[[0.97739464]],0.0,0.0,0.0,0,221.02126736111111,432,16.864397929249858,0.0,0.047687172150691466,3,05:48,PROGRAMM
1018,[[ True]],[[0.5854786]],[[ True]],[[0.9872421]],0.5891042780748663,21.683273,21.711548,0,196.25911458333334,363,16.13012297874178,0.023976866758100058,0.16286644951140064,3,06:01,PROGRAMM
1074,[[False]],[[0.7934799]],[[False]],[[0.05734493]],0.5093459659946384,-0.022857666,0.13375854,0,141.59635416666666,369,16.90135242828155,0.023398238398130534,0.08223684210526316,3,06:02,PROGRAMM
1084,[[ True]],[[0.82143813]],[[ True]],[[0.98100936]],0.5128584433318161,26.224564,74.81958,0,192.99565972222223,369,16.90135242828155,0.022382214006238826,0.08920606601248884,3,06:02,PROGRAMM
1315,[[False]],[[1.]],[[False]],[[0.09747586]],0,0,0,0,35.08680555555556,421,17.12104240808036,0,1,3,06:03,PROGRAMM
57267,[[ True]],[[0.08228304]],[[ True]],[[0.8808262]],0.0,0.0,0.0,0,98.94140625,420,16.631418767410416,0.0,0.04486316733961418,3,12:29,PROGRAMM
57628,[[False]],[[1.]],[[False]],[[0.]],0,0,0,0,0.0,150,76.96076136906856,0,1,3,12:31,PROGRAMM
57787,[[ True]],[[0.33412033]],[[ True]],[[0.67152226]],0.0,0.0,0.0,0,149.67534722222223,34,154.71020689562081,0.0,0.022361359570661897,3,12:32,PROGRAMM
57842,[[False]],[[1.]],[[False]],[[0.]],0,0,0,0,0.0,24,137.96014184982187,0,1,3,12:32,PROGRAMM
57867,[[ True]],[[0.35102925]],[[ True]],[[0.66117054]],0.46399751707014275,83.50415,123.98987,0,152.25043402777777,130,112.93739167080783,0.007035934875089738,0.1287001287001287,3,12:32,PROGRAMM
5,[[ True]],[[0.01354501]],[[ True]],[[0.98400486]],0.32637714951909064,-17.641884,17.95868,0,97.48133680555556,432,16.864397929249858,0.011105707182935073,0.09861932938856016,3,13:05,PROGRAMM
94,[[ True]],[[0.34962934]],[[ True]],[[0.71049935]],0.6974118194870202,-4.9588356,27.136684,0,156.14105902777777,363,16.13012297874178,0.04375578141922736,0.1049317943336831,3,13:10,PROGRAMM
128,[[False]],[[0.5585497]],[[False]],[[0.13743632]],0.437976437976438,-475.22375,485.9732,0,161.08506944444446,369,16.90135242828155,0.031723666481119225,0.14492753623188406,3,13:10,PROGRAMM
