COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
25,True,1.0,True,0.9440361,0.48518299494053485,-1233.641,3410.7444,0.00521866512039552,-32.74979459025021,26,143.633471312283,0.03083301982907623,0.020764119601328904,2,06:01,PROGRAMM
738,True,0.9512735,True,0.7431483,0.43823644293991276,-164.5289,940.2243,0.010498367259743034,-39.70473965877233,41,136.79628097485565,0.0438966016490259,0.021772262138036142,2,14:11,PROGRAMM
25,True,0.7948197,True,0.6377542,0.23256108635509282,2.2461243,9.322784,0.0,0,489,21.21748261830424,0.01708139522676779,0.03874467260751647,2,14:23,PROGRAMM
10,True,1.0,True,0.7687976,0.0,0.0,0.0,0.0,0,503,22.08320624121313,0.0,0.1362397820163488,2,14:29,PROGRAMM
90,False,1.0,False,0.19169858,0.47806428823737196,-1352.127,2046.438,0.0,0,513,21.676974990094575,0.021828206826219426,0.09066183136899365,2,14:30,WERBUNG
225,True,0.9432566,True,0.76373225,0.6166688356355389,-859.6875,964.4209,0.0,0,527,23.274691757927464,0.045619501948313435,0.02478929102627665,2,14:31,PROGRAMM
325,False,1.0,False,0.07985045,0.004183371099877985,-0.88894653,1.4788208,0.0,0,522,23.21109054568965,0.003723265619946996,0.24752475247524752,2,14:32,WERBUNG
393,True,1.0,True,0.7938353,0.9156649135987979,-0.34088135,2.157898,0.0,0,483,21.29549949082176,0.03847636501388935,0.09442870632672333,2,14:32,PROGRAMM
430,False,1.0,False,0.18999276,0.9969601167315175,15.620911,66.63245,0.0,0,506,22.045841159209054,0.0477263758546524,2.4390243902439024,2,14:32,WERBUNG
456,True,1.0,True,0.81271607,0.4430086594616366,-487.8213,1128.7981,0.0,0,529,21.66491481723683,0.03732953185597791,0.030665440049064702,2,14:33,PROGRAMM
10,True,0.96078295,True,0.9264993,0.8266709511568123,-241.73381,359.75372,0.0,0,510,22.889984528187068,0.039777345148472636,0.14144271570014144,2,14:35,PROGRAMM
210,False,0.47808707,False,-0.030628856,0.2992486714311893,-1.3619328,4.0894403,0.0,0,530,22.076810668887607,0.005765888075011346,0.27472527472527475,2,14:37,WERBUNG
293,True,0.51297253,True,0.4229327,0.39596928587603186,-0.0058469772,0.042206764,0.0,0,497,23.07364245550304,0.023396833508782834,0.041305245766212306,2,14:37,PROGRAMM
23,True,0.99520016,True,0.9886339,0.44972400842201105,47.27461,105.980896,0.0,0,543,23.755857804843824,0.028386490196551702,0.11976047904191617,2,14:43,PROGRAMM
10,True,1.0,True,0.94147897,0.0,0.0,0.0,0.0,-64.73366160377739,468,21.48848366417553,0.0,0.31746031746031744,2,14:47,PROGRAMM
10,True,1.0,True,0.98765576,0,0,0,0.020935697500534076,-29.860166199124247,53,164.01710851219343,0,1,2,15:00,PROGRAMM
2468,False,1.0,False,0.20773189,0,0,0,0.007202368236335337,-37.885207987333274,83,147.5367132911883,0,1,2,15:02,WERBUNG
2595,True,0.52744615,True,0.3600537,0,0,0,0.019287697988830226,-35.206488294932555,66,136.57561418396003,0,1,2,15:02,PROGRAMM
2947,False,0.9424682,False,0.2714938,0,0,0,0.015289773247474594,-35.62874789206624,62,151.86831356760348,0,1,2,15:02,WERBUNG
3224,True,1.0,True,0.3219681,0,0,0,0.008850367748039186,-41.49055198152962,18,126.66115471882652,0,1,2,15:02,PROGRAMM
3275,False,1.0,False,0.24996045,0,0,0,0.01293984801782281,-36.07258904201016,38,142.50932584252192,0,1,2,15:02,WERBUNG
5701,True,0.6101843,True,0.37179792,0,0,0,0.008789330729087191,-35.3916297193594,35,140.98181598717596,0,1,2,15:04,PROGRAMM
5716,False,0.6347718,False,0.018568676,0,0,0,0.0045167394024475845,-40.20573405643586,21,133.410412070367,0,1,2,15:04,WERBUNG
25,True,1.0,True,0.74820715,0,0,0,0.01730399487289041,-37.30258316019525,38,143.6129407958305,0,1,2,15:07,PROGRAMM
798,False,1.0,False,0.0,0,0,0,0.02154606769005402,-31.979654651835475,47,153.06652368001124,0,1,2,15:07,WERBUNG
901,True,1.0,True,0.7584898,0,0,0,0.022247993408001952,-34.17157303245763,25,149.33977890700322,0,1,2,15:07,PROGRAMM
1416,False,1.0,False,0.18580325,0,0,0,0.011444441053498948,-37.84374781487597,143,147.04719266278784,0,1,2,15:07,WERBUNG
1618,True,1.0,True,0.98264563,0,0,0,0.0006103701895199438,-66.78690844172036,89,81.76562950785232,0,1,2,15:08,PROGRAMM
3928,False,1.0,False,0.25095513,0,0,0,0.0007019257179479354,-63.46028000638985,56,78.9530667550659,0,1,2,15:09,WERBUNG
3954,True,1.0,True,0.96427417,0,0,0,0.0014648884548478652,-53.28356664845248,54,104.9993644097924,0,1,2,15:09,PROGRAMM
23769,False,0.6998838,False,0.23224421,0,0,0,0.02151554918057802,-33.12596767694336,27,150.78755917342536,0,1,2,15:23,WERBUNG
28754,True,0.511439,True,0.33769944,0,0,0,0.025269325846125675,-31.147016652412276,19,140.44103489018238,0,1,2,15:26,PROGRAMM
28907,False,0.4153,False,0.2353671,0,0,0,0.0097964415417951,-37.84374781487597,67,145.23564733331452,0,1,2,15:26,WERBUNG
31523,True,1.0,True,0.7375257,0,0,0,0.013458662678914763,-35.206488294932555,245,151.93030320472113,0,1,2,15:28,PROGRAMM
32158,False,1.0,False,0.27143916,0,0,0,0.012024292733542894,-38.78190661871812,56,144.4719875517282,0,1,2,15:28,WERBUNG
32238,True,0.6433818,True,0.7698752,0,0,0,0.02185125278481399,-32.45571294528797,73,153.12165526773333,0,1,2,15:28,PROGRAMM
34808,False,1.0,False,0.21957187,0,0,0,0.02044740134891812,-36.64779285805699,258,159.0771245747908,0,1,2,15:30,WERBUNG
34996,True,1.0,True,0.55544496,0,0,0,0.013763847773674735,-35.29856572580705,10,115.00343858646418,0,1,2,15:30,PROGRAMM
36786,True,0.65430814,True,0.33424675,0,0,0,0.0020142216254158147,-42.212059290435214,28,128.46401278783813,0,1,2,16:44,PROGRAMM
36820,False,0.77778834,False,0.16064967,0,0,0,0.0173955504013184,-33.65855536870925,23,146.41923648654253,0,1,2,16:44,WERBUNG
38495,True,0.5111596,True,0.3388004,0,0,0,0.021301919614246042,-35.85605517215774,61,138.60357199213752,0,1,2,16:45,PROGRAMM
38660,False,0.41591346,False,0.19246514,0,0,0,0.013977477340006714,-38.398809186322495,111,144.51477113414464,0,1,2,16:45,WERBUNG
39617,True,0.7246976,True,0.38462377,0,0,0,0.02316354869228187,-31.84385325022845,9,133.47523066193833,0,1,2,16:46,PROGRAMM
39744,False,0.92333776,False,0.17156325,0,0,0,0.01315347758415479,-36.34672271036618,57,142.92279188527155,0,1,2,16:46,WERBUNG
41251,True,0.44393253,True,0.38848805,0,0,0,0.00173955504013184,-56.3293335361136,51,94.83630060848509,0,1,2,16:47,PROGRAMM
41397,False,0.63402164,False,0.18527247,0,0,0,0.015259254737998596,-42.59660815086774,12,126.51554627488547,0,1,2,16:47,WERBUNG
41958,True,0.7264953,True,0.48415032,0,0,0,0.003173924985503708,-41.00107659386562,260,143.7065490823511,0,1,2,16:47,PROGRAMM
42006,False,1.0,False,0.015271291,0,0,0,0.021118808557390057,-33.826216944502995,8,128.57250956670364,0,1,2,16:47,WERBUNG
44793,True,0.7577867,True,0.7515163,0,0,0,0.01544236579485458,-34.36338280621965,15,136.49377878012572,0,1,2,16:49,PROGRAMM
46407,False,1.0,False,0.2267723,0,0,0,0.007812738425855281,-36.68390887532223,28,135.92932169413112,0,1,2,16:50,WERBUNG
46865,True,1.0,True,0.98395234,0,0,0,0.05096591082491531,-29.35544973080278,18,149.2753859510262,0,1,2,16:50,PROGRAMM
58410,False,1.0,False,0.29930001,0,0,0,0.012115848261970886,-39.83380428660269,87,149.62198815201032,0,1,2,16:57,WERBUNG
58700,True,0.6850141,True,0.977914,0,0,0,0.0026551103244117557,-53.9178549119966,42,97.48280107763011,0,1,2,16:57,PROGRAMM
59403,False,1.0,False,0.0,0,0,0,0.013641773735770746,-37.11040962143697,79,153.30366113046517,0,1,2,16:58,WERBUNG
59606,True,1.0,True,0.9519284,0,0,0,0.011444441053498948,-37.864453163508074,123,153.54619268742573,0,1,2,16:58,PROGRAMM
59657,True,0.76994884,True,0.9197719,0,0,0,0.008392590105899229,-58.94469914149408,315,96.48921650251677,0,1,2,16:59,PROGRAMM
61391,False,1.0,False,0.14082444,0,0,0,0.01654103213599048,-34.377246958625385,22,150.17826107191297,0,1,2,17:00,WERBUNG
61447,True,0.6851804,True,0.9155471,0,0,0,0.024933622241889705,-27.90383771190667,19,153.88599770475986,0,1,2,17:00,PROGRAMM
59657,True,0.7481632,True,0.95190555,0,0,0,0.0,0,501,22.31887217156074,0,1,2,17:02,PROGRAMM
