COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1092,[[False]],[[0.5261767]],[[False]],[[-0.39174932]],0.5713030477889105,271.08374,353.42206,0.010498367259743034,-53.40677282254884,151,126.21653516881081,0.04711052665950419,0.018917896329928113,False,199.0125,4,19:53,Werbung
1155,[[ True]],[[0.06234524]],[[ True]],[[0.9519883]],0.31839622641509435,7.176506,12.039131,0.0037232581560716575,-37.1676165656919,23,134.49440183036685,0.035912155290330025,0.066006600660066,False,98.83723958333333,4,19:54,Programm
1799,[[False]],[[0.5507073]],[[False]],[[0.11893034]],0.5519271039674005,0.042785645,2.1623535,0.009826960051271096,-40.48149974614852,7,124.70180526455975,0.035222714629592165,0.11961722488038277,False,90.73871527777777,4,20:01,Werbung
1829,[[ True]],[[0.3306393]],[[ True]],[[0.7373779]],0.34095932802829354,0.2141304,1.7873802,0.009430219428083133,-38.46519847491664,138,146.20599685286473,0.023824839794876262,0.04830917874396135,False,98.890625,4,20:01,Programm
1854,[[False]],[[1.]],[[False]],[[0.08466778]],0.7300728019413851,249.2252,1974.585,0.016571550645466476,-45.15516212545029,130,139.36706896864897,0.049711062424627715,0.1949317738791423,False,15.700520833333334,4,20:01,Werbung
2387,[[ True]],[[0.3533051]],[[ True]],[[0.7410338]],0.4487606464293514,-4.396858,26.5467,0.02154606769005402,-34.3357207139286,268,23.556170342783354,0.031983757654668064,0.05515719801434087,False,91.82074652777777,4,20:07,Programm
2419,[[False]],[[0.4679798]],[[False]],[[0.06510615]],0.28070022390880806,167.16632,184.89044,0.012146366771446883,-34.77470994306576,25,145.76408183989136,0.019884115062089522,0.05807200929152149,False,162.69184027777777,4,20:07,Werbung
2516,[[ True]],[[0.0280939]],[[ True]],[[0.987482]],0.4210077285958045,207.66077,660.44836,0.018555253761406293,-38.73594942347253,70,145.93387877662258,0.019093481201444173,0.12391573729863693,False,104.58246527777777,4,20:08,Programm
2768,[[False]],[[1.]],[[False]],[[0.]],0,0,0,0.0,-69.48087991966948,494,20.857979430947264,0,1,False,0.0,4,20:11,Werbung
89,[[ True]],[[0.02426331]],[[ True]],[[0.98626155]],0.5309375844366387,0.007160187,0.25473404,0.0027771843623157445,-32.57891911938434,537,21.969966634473895,0.024905032237631568,0.1282051282051282,False,100.57421875,4,20:17,Programm
